StartFrame,EndFrame,PersonID,ShotName,range_ax,range_ay,range_az,range_gx,range_gy,range_gz,range_acc_mag,range_gyro_mag,min_ax,min_ay,min_az,min_gx,min_gy,min_gz,min_acc_mag,min_gyro_mag,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,max_acc_mag,max_gyro_mag,avg_ax,avg_ay,avg_az,avg_gx,avg_gy,avg_gz,avg_acc_mag,avg_gyro_mag,absavg_ax,absavg_ay,absavg_az,absavg_gx,absavg_gy,absavg_gz,absavg_acc_mag,absavg_gyro_mag,kurtosis_f_ax,kurtosis_f_ay,kurtosis_f_az,kurtosis_f_gx,kurtosis_f_gy,kurtosis_f_gz,kurtosis_f_acc_mag,kurtosis_f_gyro_mag,kurtosis_p_ax,kurtosis_p_ay,kurtosis_p_az,kurtosis_p_gx,kurtosis_p_gy,kurtosis_p_gz,kurtosis_p_acc_mag,kurtosis_p_gyro_mag,skewness_statistic_ax,skewness_statistic_ay,skewness_statistic_az,skewness_statistic_gx,skewness_statistic_gy,skewness_statistic_gz,skewness_statistic_acc_mag,skewness_statistic_gyro_mag,skewness_pvalue_ax,skewness_pvalue_ay,skewness_pvalue_az,skewness_pvalue_gx,skewness_pvalue_gy,skewness_pvalue_gz,skewness_pvalue_acc_mag,skewness_pvalue_gyro_mag,entropy_acc_mag,entropy_gyro_mag,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,std_acc_mag,std_gyro_mag,anglebetween_ax_ay,anglebetween_ay_az,anglebetween_ax_az,anglebetween_gx_gy,anglebetween_gy_gz,anglebetween_gx_gz,iqr_ax,iqr_ay,iqr_az,iqr_gx,iqr_gy,iqr_gz,iqr_acc_mag,iqr_gyro_mag,maxmin_relative_pos_ax,maxmin_relative_pos_ay,maxmin_relative_pos_az,maxmin_relative_pos_gx,maxmin_relative_pos_gy,maxmin_relative_pos_gz,maxmin_relative_pos_acc_mag,maxmin_relative_pos_gyro_mag
4,17,p1,bo,3.05341,1.84393,1.1286,227.69928,465.68298,439.82696,2.399065904338906,388.22838912179975,-1.36011,0.15600999999999998,-1.11713,-42.58728,-250.0,-189.83459,0.44961876239765614,10.84884350644344,1.6933,1.99994,0.011470000000000001,185.112,215.68298,249.99237000000002,2.8486846667365624,399.07723262824317,-0.3272238461538461,0.9291207692307695,-0.313876923076923,25.042606923076924,12.26572,-8.008516923076922,1.2096063750733461,101.2079013156946,0.5877315384615385,0.9291207692307695,0.3156415384615384,38.159297692307696,60.09380615384615,64.0646123076923,1.2096063750733461,101.2079013156946,4.3322306960364045,1.4281592541140737,4.290885473422838,2.6035252424039443,2.3905309802660515,1.736929817609692,4.257267755890528,1.196085698255529,7.3322306960364045,4.428159254114074,7.290885473422838,5.603525242403944,5.3905309802660515,4.736929817609692,7.257267755890528,4.196085698255529,3.099351936900646,1.4010942110807718,-3.2020518817671233,2.8115508324392158,-1.303760940019441,1.307330900896155,3.281096102563474,2.7012753178132987,0.0019394448920091608,0.1611859024764868,0.00136452419835985,0.004930329957601001,0.1923151042155904,0.1911003538648336,0.0010340450512297515,0.00690741331542985,2.482801624580743,2.0505040421650134,0.6583649187370698,0.41974404866741827,0.2606814333297257,55.49750508082397,98.36707483459743,98.8545210880004,0.5322557954856605,114.57289349776963,1.705647464945586,2.5929436018427503,1.704230216867115,2.0571215345720337,2.872173739051495,1.0257392372232037,0.15013999999999994,0.0936300000000001,0.07550000000000001,52.20032,40.3366,57.174679999999995,0.2465933629148227,63.85181529299456,2,1,1,-4,-1,1,1,4
7,20,p1,bo,3.05341,1.84393,1.1286,227.69928,465.68298,439.82696,2.399065904338906,388.22838912179975,-1.36011,0.15600999999999998,-1.11713,-42.58728,-250.0,-189.83459,0.44961876239765614,10.84884350644344,1.6933,1.99994,0.011470000000000001,185.112,215.68298,249.99237000000002,2.8486846667365624,399.07723262824317,-0.35868461538461544,0.9250638461538462,-0.31210230769230773,22.215623076923073,2.2952738461538407,-9.63357769230769,1.2197780381709917,114.75790411668346,0.6191923076923078,0.9250638461538462,0.3138669230769231,40.81843538461539,71.5220523076923,68.69213461538462,1.2197780381709917,114.75790411668346,4.516519370735681,1.448142330562936,3.6584349232624698,2.2783416154645035,0.9218732190392136,1.5032071167881016,4.240144202174982,0.9660725524928222,7.516519370735681,4.448142330562936,6.65843492326247,5.2783416154645035,3.9218732190392136,4.503207116788102,7.240144202174982,3.966072552492822,3.2277883139940022,1.4496499837212296,-3.019750518491851,2.709864084631986,-0.9298338648758513,1.3248872375064735,3.2501075762767058,2.483310876458727,0.0012475125460493126,0.1471561499261801,0.0025298297741346786,0.006731078453260586,0.35245710943916175,0.18520855445257167,0.0011536136062177483,0.01301674336084332,2.4844436370771628,2.164317825774802,0.6624449466079355,0.41996693790268885,0.2673360028461402,57.339286433593394,107.27381267808866,100.40950162347227,0.5297369493179139,110.9043016483399,1.7381682064595754,2.5729134398314937,1.6652388610204905,1.961744830744728,2.7885438186641784,1.0525831846355644,0.27136,0.0936300000000001,0.21215999999999996,64.89563,64.77356,85.98326999999999,0.2465933629148227,117.64455827726283,2,1,1,-4,-1,1,1,4
22,35,p1,bo,2.59113,1.7979100000000001,2.55182,341.14075,314.94904,470.93964000000005,2.82070239562836,359.692987635533,-2.0,0.20203,-0.55188,-190.50598,-64.95666999999999,-220.94727000000003,0.643329937823509,41.90992387307927,0.59113,1.99994,1.99994,150.63477,249.99237000000002,249.99237000000002,3.4640323334518692,401.60291150861224,-0.5894761538461538,0.8438961538461538,0.09232692307692306,-4.143346923076924,38.427499230769236,-11.661236153846154,1.2386098565288568,123.43887098164637,0.6804192307692307,0.8438961538461538,0.3903469230769231,48.78704384615385,74.3302576923077,65.54588846153848,1.2386098565288568,123.43887098164637,1.1438293742870806,2.090846709738873,3.104242702649927,1.552826748135658,0.08221966395643143,2.011179828721348,5.666402751732859,1.8225956195185136,4.143829374287081,5.090846709738873,6.104242702649927,4.552826748135658,3.0822196639564314,5.011179828721348,8.666402751732859,4.822595619518514,-1.0244352960669185,2.09718613980274,3.1363643214814747,-0.9407833134590109,1.7740964226549938,1.1560261549721853,3.860728640904786,2.951899423692354,0.3056297177442757,0.0359771009531132,0.001710565645971587,0.34681591377218024,0.07604720242438591,0.2476704589005666,0.0001130493990208348,0.003158257829656467,2.449221338275525,2.297861647712056,0.5828134292779684,0.4197659260833253,0.6472544361126122,74.57618411799835,91.46243854376384,100.73709276896612,0.6847086749697242,102.3113695626475,2.619620709722409,1.0371814907199293,2.228970523341865,1.983908746441051,1.4753432659447996,2.013400101100471,0.39808,0.3073800000000001,0.32989,36.96441,85.13641999999999,46.69189,0.4764753994817875,73.96135970192445,-1,2,2,5,-3,2,-3,4
60,73,p1,bo,1.427,1.9348800000000002,0.81769,181.92291,474.31946000000005,475.95978,1.866181053048055,349.8437865438426,-1.31549,0.06506,-0.80542,-54.550169999999994,-250.0,-225.96741,0.6076235234090267,5.044585594258462,0.11150999999999998,1.99994,0.01227,127.37274,224.31946000000002,249.99237000000002,2.4738045764570815,354.8883721381011,-0.5761423076923077,0.9072546153846154,-0.3116692307692308,10.79794,0.29461230769230995,-7.702167692307692,1.188472179145546,115.41671604969935,0.5932976923076922,0.9072546153846154,0.3135569230769231,34.82114307692307,64.47542615384616,68.51548461538461,1.188472179145546,115.41671604969935,-0.14381857088479189,3.155068820808099,0.0011003870351737888,0.5695850999393843,1.3491209024260309,1.2043422405889261,3.6272097988237224,0.12652965255230963,2.856181429115208,6.155068820808099,3.001100387035174,3.5695850999393843,4.349120902426031,4.204342240588926,6.627209798823722,3.1265296525523096,-0.6943448644369095,1.5878638065016526,-1.6411200034232731,1.9525648190744516,-0.7203998227165099,1.12120840405645,3.191432375130836,1.9713724170991056,0.4874659616842365,0.11231713933105719,0.10077250717236515,0.0508711832883504,0.4712788591402115,0.2621991632789973,0.001415692472100653,0.0486812936473749,2.5091925339168473,2.143941692249409,0.3743841270499889,0.3943909357987791,0.21816690634118918,47.383947459996165,104.87195920590698,107.42012132260305,0.42781651266019366,107.87694896343149,2.698598975534042,2.506891129521382,0.7369582108202303,1.3049999172183453,2.5722078819275316,1.6279955549553617,0.3056,0.03503999999999996,0.07873000000000002,44.906620000000004,42.21344,60.92072,0.1582700358466489,115.04597068433183,1,1,1,-4,-1,1,1,7
75,88,p1,bo,1.67822,1.68512,2.7373700000000003,170.34912,499.99237000000005,499.99237000000005,2.5443449927757023,380.2978006257622,-2.0,0.31482,-0.73743,-20.05005,-250.0,-250.0,0.919687340676167,3.871427060529489,-0.32178,1.99994,1.99994,150.29907,249.99237000000002,249.99237000000002,3.4640323334518692,384.16922768629166,-0.8915807692307691,0.9594069230769231,-0.04383692307692311,29.310959999999998,-7.772006153846151,12.432979230769233,1.4760485599867157,97.84209919381435,0.8915807692307691,0.9594069230769231,0.4420400000000001,36.89692461538462,57.65416153846154,60.98879153846154,1.4760485599867157,97.84209919381435,-1.2678349616024553,0.6901711018568268,4.344974291780457,0.7379448267250788,2.3473006939699665,2.1470719654744803,1.1099400748250643,0.7335888719457051,1.7321650383975447,3.690171101856827,7.344974291780457,3.7379448267250788,5.3473006939699665,5.14707196547448,4.109940074825064,3.733588871945705,-1.317498204956714,2.240915527831801,3.5269678820972317,2.189892178755319,0.2780573019093364,-0.4905330922671493,2.679184813278663,2.582530855598498,0.1876716823691147,0.025031547231010837,0.0004203477503542485,0.028532057344290103,0.7809683718192719,0.6237567188398996,0.0073801647289332365,0.009807859147386848,2.451056675080553,1.9006064000669216,0.6219167002280009,0.481607143784619,0.6579287041966759,47.4830964743944,103.43101612821485,104.6004596356254,0.7682292882133789,124.0762457433869,2.553833200944058,1.2612887794793692,1.802243256652139,2.0202223882741186,2.708513470356151,1.0177716318531076,1.29065,0.28471999999999986,0.20544999999999997,44.05212,29.65546,51.49841,0.7666040772410265,98.4322315219458,-7,-3,1,3,-1,1,-3,7
77,90,p1,bo,1.67822,1.68512,2.7373700000000003,170.34912,499.99237000000005,499.99237000000005,2.5443449927757023,380.2978006257622,-2.0,0.31482,-0.73743,-20.05005,-250.0,-250.0,0.919687340676167,3.871427060529489,-0.32178,1.99994,1.99994,150.29907,249.99237000000002,249.99237000000002,3.4640323334518692,384.16922768629166,-0.8985676923076924,0.9834315384615382,-0.033103846153846164,32.07984384615384,-8.632953846153843,18.804110769230768,1.4968712659106354,103.66016014766463,0.8985676923076924,0.9834315384615382,0.43130692307692303,36.83589,61.64198615384616,67.24959076923078,1.4968712659106354,103.66016014766463,-1.2600845676103545,0.39536654189937126,4.44014591368165,0.8728475434330445,2.117777761514593,2.0898116260385455,1.1467302559905956,0.7058843206665246,1.7399154323896455,3.3953665418993713,7.44014591368165,3.8728475434330445,5.117777761514593,5.0898116260385455,4.146730255990596,3.7058843206665246,-1.3290974584198811,1.9890362514421933,3.5487908673418507,2.23666815723625,0.3161844848716973,-0.8084713738360412,2.680918130094127,2.523354223351543,0.18381581869550745,0.04669720177876509,0.00038700431248794257,0.025308036661226045,0.7518624834164015,0.4188192787649869,0.007342047607517119,0.011624124458747952,2.4567162160261184,1.9752420321458755,0.6163606417469196,0.48373327047750597,0.6524143639122711,45.89204167692369,104.62257864199175,105.33155260842956,0.7580083022776606,121.89548588509777,2.5450606026731855,1.2565096934341737,1.8088122339333306,2.0217239385008954,2.689394815808936,0.9899747427218882,1.23761,0.34673999999999994,0.20471,43.99108,43.71643,74.5163,0.7663576933850142,98.4322315219458,-7,-3,1,3,-1,1,-3,7
94,107,p1,bo,3.10632,1.2343199999999999,0.9285800000000001,354.01153,493.6676,437.27112,1.2914815631864007,312.45039041576194,-2.0,0.1723,-0.76031,-241.38641,-243.67522999999997,-202.15607,0.9089566124958881,9.297542022524018,1.10632,1.40662,0.16827,112.62512,249.99237000000002,235.11505,2.200438175682289,321.74793243828594,-0.5262269230769232,0.8331146153846155,-0.28288384615384615,1.1995753846153814,15.411376923076924,3.4848730769230727,1.2424948018882096,155.99827281781697,0.6996038461538461,0.8331146153846155,0.3087715384615385,62.60681076923077,107.17421384615385,67.27365307692307,1.2424948018882096,155.99827281781697,1.5550715246603977,-0.6037963934226549,1.2808474113740882,1.627893445412239,-0.6116602155788096,1.0427299602324354,2.723134695096461,-1.6827203112576663,4.555071524660398,2.396203606577345,4.280847411374088,4.627893445412239,2.3883397844211904,4.042729960232435,5.723134695096461,1.3172796887423337,0.5292874163001835,-0.5230773994436984,-0.19511299016710829,-2.24388586851338,0.3995319575041774,0.6465146883287249,2.9087114354727355,0.12578709839880825,0.5966060835902025,0.6009203924172258,0.8453044933308247,0.024839745609707763,0.6895012811898458,0.5179460877700157,0.0036292167451770115,0.899900454637803,2.5334843057857857,2.256316011008816,0.6716320296502178,0.32907637791518113,0.2047054035038368,89.51298153911374,139.393102421797,98.21987346511307,0.3294082916557327,114.04291801022487,2.1900268749595164,2.4233236234620787,0.5698889069946845,2.106032555486115,2.3772831328147572,1.2985138742980527,0.46142000000000005,0.50659,0.09325999999999998,88.89007000000001,182.25098000000003,77.53753999999999,0.2969972408850856,228.72636231725525,1,4,4,-4,-4,3,-7,-8
143,156,p1,bo,1.67023,1.79779,2.48444,221.41266000000002,477.6001,499.99237000000005,2.480477871157076,389.99839900127637,-2.0,0.20215,-0.4845,-42.26685,-250.0,-250.0,0.9835544622947933,6.346660635869859,-0.32977,1.99994,1.99994,179.14581,227.6001,249.99237000000002,3.4640323334518692,396.3450596371462,-0.6567999999999999,0.9617361538461537,-0.09303615384615387,11.41768076923077,11.800912307692304,-5.396916923076922,1.3045796620192576,113.8143599207581,0.6567999999999999,0.9617361538461537,0.40071923076923077,37.712096153846154,75.21526769230769,68.37698307692308,1.3045796620192576,113.8143599207581,1.6483644709175342,3.663603767077168,7.393257160747469,3.2003566624115196,0.748507794069424,1.627525142441435,6.593097469879027,0.3779456944099686,4.648364470917534,6.663603767077168,10.393257160747469,6.20035666241152,3.748507794069424,4.627525142441435,9.593097469879027,3.3779456944099686,-2.86323946409231,1.9821224216214448,4.317681200990856,3.0648102091993175,-0.8280191600256144,0.47879842844637804,4.158059595957587,2.3092401500826507,0.004193335147386433,0.047465540641702386,1.5767695005356946e-05,0.002178081664118627,0.4076596491380351,0.6320820348075913,3.2096229958440594e-05,0.020930258734190004,2.474352781238892,2.0706364050677197,0.49636266183259437,0.36250478219738885,0.6142787004226171,56.49081059847528,111.72130353525701,107.9608445816347,0.6466639250440772,121.13401034397546,2.5777634996373995,1.418781191029312,1.9085384731245956,2.3450386456379264,2.8056934407698497,0.7203301030941601,0.48822,0.04674999999999996,0.17327000000000004,53.80249,50.392160000000004,34.99604,0.1177902683827905,130.10623040755328,5,1,-1,2,-1,1,1,5
162,175,p1,bo,2.15625,1.83765,2.09332,345.12329,499.99237000000005,391.51001,2.397498404604288,429.63951361025346,-2.0,0.16229000000000002,-0.8562,-250.0,-250.0,-141.51764,0.6896079910354868,3.364377961674342,0.15625,1.99994,1.23712,95.12329,249.99237000000002,249.99237000000002,3.0871063956397746,433.0038915719278,-0.46681000000000006,0.8669715384615384,-0.19915384615384615,-15.955412307692304,21.338241538461546,7.785503076923078,1.145206627472605,130.0417638221923,0.4908484615384616,0.8669715384615384,0.38947999999999994,44.542166153846146,92.76463384615384,70.85242769230769,1.145206627472605,130.0417638221923,3.9474511263918117,2.479859626798647,4.450730066534408,3.721980131374184,-0.03551385292132192,0.40497395602732444,6.93104698091661,0.19322439996018437,6.947451126391812,5.479859626798647,7.450730066534408,6.721980131374184,2.964486147078678,3.4049739560273244,9.93104698091661,3.1932243999601844,-3.317390635937533,1.8693416141921193,3.2698083806684908,-3.0140664311779424,-0.6400144123680408,1.4431766551367229,4.197251196918124,1.7296158407224227,0.000908624798542791,0.061575301971369206,0.001076203598944382,0.0025777135640288095,0.5221632295949643,0.14897071398240733,2.7017421161940635e-05,0.08369893395032138,2.471646146910402,2.077733557754086,0.5023967203775855,0.40948838788544145,0.4635762027564942,77.78803734373528,125.12432472597847,100.8932596789134,0.576802704271019,125.4837626730855,2.5275454882800332,1.559489673871748,1.7853081386545848,2.567806255259169,1.7501289625012344,1.923465861117196,0.04278000000000004,0.1527099999999999,0.18634,37.26196,143.34869,79.12445,0.07397766112955528,170.24094742215684,-1,2,2,1,-1,1,1,6
179,192,p1,bo,3.56635,1.29492,0.78571,372.31444999999997,453.79639000000003,499.99237000000005,1.934281618349789,350.94450700650003,-2.0,0.70502,-0.8927,-250.0,-203.80402,-250.0,1.031637007236557,2.9452320943687953,1.56635,1.99994,-0.10699000000000002,122.31445,249.99237000000002,249.99237000000002,2.965918625586346,353.88973910086884,-0.48396538461538463,1.0953453846153847,-0.3406323076923077,-15.943674615384614,1.1185861538461515,7.897596923076923,1.4161753337868794,123.56568325440827,0.7249423076923077,1.0953453846153847,0.3406323076923077,44.57503,71.7738230769231,67.64162461538461,1.4161753337868794,123.56568325440827,1.824770938290106,2.933260912243127,1.9840713557232554,3.2878671154951684,0.42658118884426255,1.0586067990208088,1.618088581443673,-1.4119015156812174,4.824770938290106,5.933260912243127,4.984071355723255,6.287867115495168,3.4265811888442625,4.058606799020809,4.618088581443673,1.5880984843187826,0.8138376383234335,2.9939849751997887,-2.867359881481355,-2.6548891526265233,0.8571287798779285,-0.07111955590231336,2.8504212845901185,1.1230498189519005,0.41573796990617873,0.002753595039951757,0.004139120431331161,0.007933447324847125,0.39137371731553394,0.9433026042200181,0.004366135603593172,0.26141633658738905,2.4958323725854394,1.9718328332123072,0.8022862415872758,0.30917105167541614,0.20217853926870774,80.27668182578785,113.2937588096333,113.30879587319862,0.569743725280672,131.02690794895457,2.1194309209151347,2.774556191935836,1.0764701853650254,2.0130459645060537,2.234158610358431,1.823712492609368,0.12195,0.19434000000000018,0.061090000000000005,36.30828,31.43311,35.4309,0.292377986695902,250.74342368257612,-1,2,1,1,-3,2,5,6
