,timestamp,ax,ay,az,gx,gy,gz
0,2019-11-20 10:59:43.289153,-0.24921,1.00092,-0.15784,3.92914,-11.6272,-2.44141
1,2019-11-20 10:59:43.498484,-0.24933,0.97479,-0.17603,-6.95038,4.2038,-6.46973
2,2019-11-20 10:59:43.839757,-0.24664,0.98981,-0.13269,5.41687,-6.93512,6.01959
3,2019-11-20 10:59:44.229704,-0.20837,0.98303,-0.1217,7.49207,12.84027,1.9455
4,2019-11-20 10:59:44.765989,-0.26257,0.9848,-0.15894,-3.4256,-3.06702,-2.68555
5,2019-11-20 10:59:45.058495,-0.25482,0.99963,-0.12909,1.22833,-8.75092,6.21033
6,2019-11-20 10:59:45.448497,-0.23566,1.09515,-0.10944,4.29535,7.83539,20.62225
7,2019-11-20 10:59:45.935996,-0.15668,0.96869,-0.04773,-1.2207,9.84955,1.43433
8,2019-11-20 10:59:46.423506,-0.23822,1.05652,-0.12396,13.96942,-15.14435,-31.93665
9,2019-11-20 10:59:46.667245,-0.64069,0.11908,-0.29602,136.63483,70.89996,-211.5097
10,2019-11-20 10:59:47.106028,-0.25366,-0.2666,0.67493,-61.42426,-119.33136,34.19495
11,2019-11-20 10:59:47.496004,-0.71454,0.7627,-0.07257,-33.1192,-237.57172,97.89276
12,2019-11-20 10:59:47.886012,-0.13989,1.03296,0.25623,-22.17865,135.9787,-9.42993
13,2019-11-20 10:59:48.373493,-0.4585,0.94763,0.17419,41.99219,-11.26862,17.63153
14,2019-11-20 10:59:48.714780,-0.37927,0.93365,-0.17389,-13.35144,-3.05176,-26.66473
15,2019-11-20 10:59:49.251111,-0.24664,0.96436,-0.12341,-10.72693,13.63373,6.83594
16,2019-11-20 10:59:49.641047,-0.29761,0.99634,-0.08136,7.09534,18.24951,13.45062
17,2019-11-20 10:59:49.884780,-0.2511,0.99878,-0.04736,-17.22717,24.97101,-3.62396
18,2019-11-20 10:59:50.518537,-0.2475,0.99042,-0.06329,4.08173,7.09534,-1.51062
19,2019-11-20 10:59:50.762533,-0.2334,1.01013,-0.06244,6.9046,-17.82227,-1.72424
20,2019-11-20 10:59:51.103560,-0.21442,0.98877,-0.1106,-3.40271,-8.58307,-7.9422
21,2019-11-20 10:59:51.591037,-0.26361,0.98785,-0.11121,16.30402,-6.88934,12.21466
22,2019-11-20 10:59:52.127289,-0.24139,0.99042,-0.05963,-0.24414,-2.98309,-8.56018
23,2019-11-20 10:59:52.322522,-0.24762,0.98169,-0.09186,-0.86975,15.90729,-0.46539
24,2019-11-20 10:59:52.761067,-0.24237,1.00659,-0.08868,0.56458,2.6474,-1.93024
25,2019-11-20 10:59:53.102563,-0.24261,0.96863,-0.09534,4.95148,-7.56073,3.77655
26,2019-11-20 10:59:53.541065,-0.22284,0.98993,-0.09546,6.28662,-14.13727,-2.29645
