,timestamp,ax,ay,az,gx,gy,gz
0,2019-11-19 11:10:31.491168,-0.37659,0.91998,-0.27698,1.73187,11.50513,7.09534
1,2019-11-19 11:10:31.734800,-0.35718,0.92853,-0.26398,1.28937,-2.86102,-4.48608
2,2019-11-19 11:10:32.173566,-0.36597,0.92169,-0.26062,1.23596,-5.34058,-1.27411
3,2019-11-19 11:10:32.709800,-0.37524,0.9259,-0.2641,1.6098,-4.62341,3.82996
4,2019-11-19 11:10:32.807481,-0.3775,0.92883,-0.26758,2.7771,1.84631,3.46375
5,2019-11-19 11:10:33.294838,-0.35852,0.94458,-0.27277,-5.95856,2.63977,-8.71277
6,2019-11-19 11:10:33.587458,-0.37256,0.9267,-0.26654,-1.58691,4.44031,1.01471
7,2019-11-19 11:10:34.026100,-0.35626,0.93665,-0.26166,-2.02179,9.38416,-1.92261
8,2019-11-19 11:10:34.464838,-0.32861,0.99677,-0.25684,-18.85986,-13.51929,-10.89478
9,2019-11-19 11:10:34.854835,-1.44904,0.59094,-1.46729,-42.4118,-21.32416,-57.02972
10,2019-11-19 11:10:35.196100,-0.10547,-0.26117,0.56598,249.99237,4.47845,-250
11,2019-11-19 11:10:35.634849,-2,1.15698,-1.8006,-88.92822,-233.65784,106.63605
12,2019-11-19 11:10:36.024833,-0.71259,0.14966,0.28595,-63.08746,17.5705,-54.20685
13,2019-11-19 11:10:36.414870,-0.7959,0.31799,-0.08887,-76.14899,64.25476,28.98407
14,2019-11-19 11:10:36.804895,-0.54419,0.64185,-0.44043,58.28094,-75.3479,-37.74261
15,2019-11-19 11:10:37.243627,-1.38599,0.75854,-0.12256,111.1145,-59.0744,9.99451
16,2019-11-19 11:10:37.633607,-0.60785,0.10645,-0.31213,61.73706,-137.64954,19.45496
17,2019-11-19 11:10:38.072344,-0.77844,0.5025,-0.47339,-20.73669,-3.13568,3.479
18,2019-11-19 11:10:38.413622,-0.64526,0.83386,0.08429,42.51099,31.53992,129.89044
19,2019-11-19 11:10:38.998638,-0.3703,1.03149,-0.27625,33.62274,-172.58453,72.32666
20,2019-11-19 11:10:39.486124,-0.22339,1.22363,-0.1391,-16.29639,82.89337,-95.18433
21,2019-11-19 11:10:39.729880,-0.52979,0.88165,-0.33423,-11.91711,4.75311,29.77753
22,2019-11-19 11:10:40.119890,-0.43109,0.90039,-0.11432,-14.51111,-17.05933,8.02612
23,2019-11-19 11:10:40.461145,-0.26709,0.98242,-0.04761,-56.66351,54.32892,-51.01776
24,2019-11-19 11:10:40.851136,-1.87115,0.27832,-0.72858,33.27942,74.08142,-85.289
25,2019-11-19 11:10:41.241146,0.2464,-0.28516,0.3302,174.66736,163.27667,-118.12592
26,2019-11-19 11:10:41.679865,-2,1.99994,-0.36725,-250,-250,249.99237
27,2019-11-19 11:10:42.069914,-1.19781,1.10858,0.44659,52.98615,88.36365,-11.84082
28,2019-11-19 11:10:42.508657,-0.90356,0.54889,-0.18469,-47.06573,2.28119,-44.81506
29,2019-11-19 11:10:42.849902,-1.04529,0.49072,-0.30273,73.82202,-3.43323,33.65326
30,2019-11-19 11:10:43.288648,-0.41565,0.39703,-0.64233,15.2359,-26.35956,-43.7088
31,2019-11-19 11:10:43.678661,-1.06274,0.26324,-0.13562,-11.29913,27.85492,-11.32202
32,2019-11-19 11:10:44.068695,-1.12366,0.19702,-0.43988,16.73126,-75.00458,9.10187
33,2019-11-19 11:10:44.507506,-0.83521,0.49622,-0.47241,-20.52307,-1.60217,13.67188
34,2019-11-19 11:10:44.946191,-0.57587,0.82129,-0.41656,1.4801,-13.8092,98.11401
35,2019-11-19 11:10:45.287574,-0.31226,0.90894,-0.23395,23.40698,-52.38342,23.94104
36,2019-11-19 11:10:45.774935,-0.3244,0.91528,-0.4209,-13.90076,1.13678,-16.56342
37,2019-11-19 11:10:46.164947,-0.32697,0.91559,-0.33282,-3.34167,1.96838,8.73566
38,2019-11-19 11:10:46.554920,-0.30945,0.95972,-0.32867,-5.14984,18.43262,1.11389
39,2019-11-19 11:10:47.091217,-0.30316,0.96918,-0.32623,-13.54218,-15.22064,0.15259
