,timestamp,ax,ay,az,gx,gy,gz
0,2019-11-20 09:50:44.455785,-1.00275,1.13562,-0.34827,-37.87231,-92.83447,-133.02612
1,2019-11-20 09:50:44.473770,-0.33209,0.72266,0.00928,3.5553,-5.04303,16.60156
2,2019-11-20 09:50:44.912722,-0.45581,1.2915,-0.04236,72.19696,-10.11658,182.99866
3,2019-11-20 09:50:45.253761,-0.33789,0.95435,-0.06207,-5.92041,-188.07983,13.25989
4,2019-11-20 09:50:45.643778,-0.3653,0.94513,-0.19696,-11.05499,142.1051,-116.95862
5,2019-11-20 09:50:46.082734,-0.45038,0.93707,-0.30505,-21.81244,0.33569,47.82104
6,2019-11-20 09:50:46.472628,-0.34296,0.97656,-0.12115,11.2915,15.09857,12.77161
7,2019-11-20 09:50:46.862736,-0.28772,0.99847,-0.09564,-12.23755,21.67511,9.22394
8,2019-11-20 09:50:47.642645,-0.31525,0.95068,-0.04944,12.33673,10.42938,3.63922
9,2019-11-20 09:50:47.788763,-0.39185,0.96387,-0.21204,-17.84515,-56.97632,-31.00586
10,2019-11-20 09:50:48.081306,-0.55682,0.85944,0.04718,4.60815,24.92523,-58.70819
11,2019-11-20 09:50:48.471314,-0.73785,0.55084,-0.51166,-32.04346,-36.99493,-41.01562
12,2019-11-20 09:50:48.910059,-1.56073,0.38708,-0.07111,187.45422,191.9632,-79.76532
13,2019-11-20 09:50:49.397562,1.99994,1.99994,1.99994,-250,122.17712,249.99237
14,2019-11-20 09:50:49.690075,-0.47906,1.23944,-1.11615,-195.64819,-33.43964,138.16833
15,2019-11-20 09:50:50.080079,-0.20129,1.04498,-0.40448,25.87891,-21.61407,-11.6272
16,2019-11-20 09:50:50.518844,-0.23102,0.89752,-0.21985,6.2027,-52.37579,-30.48706
17,2019-11-20 09:50:50.908843,-0.37415,1.12671,-0.30432,-15.60211,-59.5932,108.96301
18,2019-11-20 09:50:51.298841,-0.26752,0.99664,-0.30487,3.8681,49.77417,-44.13605
19,2019-11-20 09:50:51.688847,-0.38434,0.86169,-0.1969,31.03638,48.23303,-0.52643
20,2019-11-20 09:50:52.176363,-0.27539,0.8551,-0.47211,35.62927,-11.26862,23.78845
21,2019-11-20 09:50:52.517604,-0.32526,0.71991,-0.8418,24.63531,29.28925,-30.4718
22,2019-11-20 09:50:53.200103,-0.36688,0.46454,-0.66235,39.62708,-24.35303,-3.95966
23,2019-11-20 09:50:53.395189,-0.42236,0.68335,-0.47235,-63.57574,-14.09149,34.88922
24,2019-11-20 09:50:53.882816,-0.55005,1.00726,-0.36646,-21.78955,-0.59509,70.39642
25,2019-11-20 09:50:54.126361,-0.16431,0.94806,-0.1767,8.29315,79.37622,-54.72565
26,2019-11-20 09:50:54.516399,-0.34613,1.01813,-0.13379,-4.96674,4.47083,25.81024
27,2019-11-20 09:50:54.955149,-0.42737,0.92139,-0.12982,9.25446,-23.51379,-3.34167
28,2019-11-20 09:50:55.393885,-0.40063,0.94873,-0.10223,-16.82281,-36.23962,-33.52356
29,2019-11-20 09:50:55.832740,-0.52667,0.79431,0.05365,3.479,-3.71552,-31.91376
30,2019-11-20 09:50:56.125161,-0.95972,0.33301,-0.46454,167.75513,109.97772,-119.75861
31,2019-11-20 09:50:56.612734,0.67444,-0.98145,0.78827,249.99237,-173.59161,-194.36646
32,2019-11-20 09:50:56.953905,1.99994,1.99994,-2,-180.06897,249.99237,-250
33,2019-11-20 09:50:57.343909,-0.59131,0.83197,-0.25781,16.25824,-172.5235,159.92737
34,2019-11-20 09:50:57.831425,-0.18677,0.65875,-0.1604,-9.22394,-120.33081,49.47662
35,2019-11-20 09:50:58.172867,-0.27887,1.1004,-0.54797,-32.05872,-16.02936,-18.44025
36,2019-11-20 09:50:58.562892,-0.16516,0.91302,-0.284,-9.01031,2.73132,-25.53558
37,2019-11-20 09:50:59.001438,-0.35364,1.13678,-0.211,-11.26862,31.47888,22.6593
38,2019-11-20 09:50:59.440198,-0.27893,1.00702,-0.20764,4.13513,-3.8681,16.25061
39,2019-11-20 09:50:59.781458,-0.20453,0.97656,-0.16296,13.25226,-47.46246,-32.87506
40,2019-11-20 09:51:00.220200,-0.22437,0.93115,-0.2298,12.73346,-15.85388,5.21088
41,2019-11-20 09:51:00.659027,-0.25482,0.99127,-0.29376,4.06647,-10.11658,4.82178
42,2019-11-20 09:51:18.828501,-0.71161,0.93231,-0.16162,17.02118,-78.65143,28.01514
43,2019-11-20 09:51:18.987726,-0.58453,0.79767,-0.09894,-10.94818,21.37756,-6.08826
44,2019-11-20 09:51:18.989488,-0.48657,0.78027,-0.18872,-46.34857,151.07727,-27.42004
45,2019-11-20 09:51:19.670472,-0.58002,1.17621,-0.23602,-0.34332,-33.55408,-17.19666
46,2019-11-20 09:51:19.816710,-0.45056,1.06927,-0.03412,5.5542,-70.29724,43.86902
47,2019-11-20 09:51:20.206677,-0.37891,0.95831,-0.06219,59.73816,-18.57758,13.37433
48,2019-11-20 09:51:20.596699,-0.30066,0.93762,-0.32092,17.37213,-33.24127,31.94427
49,2019-11-20 09:51:21.084285,-0.32166,1.00159,-0.30298,-0.74005,-12.05444,15.38086
50,2019-11-20 09:51:21.474224,-0.29877,1.02039,-0.17987,-6.01196,15.35797,-4.91333
51,2019-11-20 09:51:21.815470,-0.29254,1.00409,-0.13586,1.1673,-25.13885,6.69098
52,2019-11-20 09:51:22.449228,-0.23059,0.98517,-0.20624,26.63422,-21.97266,2.06757
53,2019-11-20 09:51:22.693182,-0.24139,0.94263,-0.23914,0.47302,6.05774,13.24463
54,2019-11-20 09:51:23.083131,-0.17987,0.98724,-0.25183,-16.28113,12.35962,-11.00922
55,2019-11-20 09:51:23.424265,-0.22369,0.99255,-0.12286,4.23431,6.7749,-4.30298
56,2019-11-20 09:51:23.863126,-0.35187,1.03601,-0.1059,10.04791,-15.45715,20.33234
57,2019-11-20 09:51:24.350555,-0.16895,0.92206,-0.21246,3.69263,0.2594,-4.63104
58,2019-11-20 09:51:24.643092,-0.21002,0.99103,-0.33929,5.83649,-3.86047,8.61359
59,2019-11-20 09:51:25.081798,-0.22601,0.93677,-0.23468,-7.00378,22.62115,-27.16064
60,2019-11-20 09:51:25.520545,-0.34222,0.94952,-0.02936,12.7182,-52.61993,26.03149
61,2019-11-20 09:51:25.861794,-0.22003,1.01141,-0.2674,-2.49481,-12.88605,-6.02722
62,2019-11-20 09:51:26.251805,-0.17987,0.97919,-0.13293,-3.78418,-10.57434,-11.11603
63,2019-11-20 09:51:26.690525,-0.28986,1.07178,-0.11768,28.3432,-8.93402,13.58032
64,2019-11-20 09:51:27.129313,-0.47284,0.98578,-0.37219,-4.17328,-62.49237,-29.57153
65,2019-11-20 09:51:27.470533,-1.06696,0.53796,-0.71368,93.40668,-35.54535,-127.13623
66,2019-11-20 09:51:27.860579,-0.95056,-0.12793,-0.216,149.25385,131.8512,-157.53174
67,2019-11-20 09:51:28.299332,-2,1.99994,0.18018,-77.18658,249.99237,-250
68,2019-11-20 09:51:28.786812,-0.34131,0.95288,-0.16479,-23.10181,-73.83728,182.38068
69,2019-11-20 09:51:29.128091,-0.36432,1.03217,-0.24963,19.17267,-205.41382,177.07825
70,2019-11-20 09:51:29.469329,-0.35687,1.06,-0.48047,-58.53271,75.32501,-20.41626
71,2019-11-20 09:51:29.908096,-0.26147,1.06439,-0.24988,-2.36511,1.4801,17.99011
72,2019-11-20 09:51:30.298070,-0.19537,0.96375,-0.30554,-9.08661,14.99939,-8.63647
73,2019-11-20 09:51:30.688105,-0.13568,0.96942,-0.2348,10.23865,-7.48444,-5.27954
74,2019-11-20 09:51:31.078097,-0.16473,0.99017,-0.25555,2.63977,-6.11877,10.99396
75,2019-11-20 09:51:31.516851,-0.19617,0.99792,-0.24915,-2.97546,6.94275,-5.61523
76,2019-11-20 09:51:31.906852,-0.18872,1.00165,-0.28162,12.58087,-39.34479,-0.56458
77,2019-11-20 09:51:32.296890,-0.289,0.97272,-0.28674,3.44086,-13.28278,28.57208
78,2019-11-20 09:51:32.735634,-0.24951,0.97144,-0.19006,-3.479,-3.86047,-19.14978
79,2019-11-20 09:51:33.271887,-0.26746,0.87592,-0.12622,20.78247,41.60309,6.59943
80,2019-11-20 09:51:33.710652,-0.35406,0.97162,-0.23438,-8.52203,-50.26245,-20.59937
81,2019-11-20 09:51:33.905632,-0.73853,1.06091,-0.41315,36.39984,-11.58905,-106.80389
