,timestamp,ax,ay,az,gx,gy,gz
0,2019-11-19 10:15:42.431542,-0.67407,1.09216,-0.26935,-6.5155,26.80969,16.70074
1,2019-11-19 10:15:42.640684,-0.60382,0.92981,-0.04968,12.96234,29.92249,2.56348
2,2019-11-19 10:15:43.030718,-0.48383,0.76514,-0.32037,-20.0882,32.2113,-0.32043
3,2019-11-19 10:15:43.420637,-0.40417,0.9364,-0.13647,12.52747,-31.19659,-9.20868
4,2019-11-19 10:15:43.859395,-0.45911,0.8952,-0.22974,-0.74768,0.36621,2.87628
5,2019-11-19 10:15:44.298166,-0.4505,0.92548,-0.19159,2.24304,-2.86865,-0.10681
6,2019-11-19 10:15:44.639401,-0.44299,0.84161,-0.20441,6.31714,-4.2038,-12.03918
7,2019-11-19 10:15:45.029403,-0.53485,0.89514,0.05927,4.53949,-87.9364,17.06696
8,2019-11-19 10:15:45.468140,-0.51276,0.84985,-0.24219,-0.1297,-2.92206,-5.66101
9,2019-11-19 10:15:45.858164,-0.48267,0.96417,-0.13684,6.2027,63.43842,20.18738
10,2019-11-19 10:15:46.248149,-0.26996,0.88617,-0.12384,-7.53784,-45.41779,0.93079
11,2019-11-19 10:15:46.686992,-0.16998,1.02832,-0.05139,-4.65393,13.17596,18.64624
12,2019-11-19 10:15:47.125625,-0.7594,0.81,-0.19196,-30.81512,78.24707,-56.58722
13,2019-11-19 10:15:47.467020,-0.79132,0.71637,0.04822,51.65863,-149.04022,12.37488
14,2019-11-19 10:15:47.856982,-1.67627,1.99994,1.99994,-250,249.99237,128.45612
15,2019-11-19 10:15:48.247091,-0.61371,0.17725,-0.18372,66.04767,-50.58289,161.81946
16,2019-11-19 10:15:48.685635,-0.80261,0.49048,-0.10614,57.97577,-43.93768,63.31635
17,2019-11-19 10:15:49.075649,-0.72461,0.77032,0.05896,-6.66046,-1.11389,14.04572
18,2019-11-19 10:15:49.465623,-0.70929,0.73724,-0.0224,48.21014,-92.48352,-9.11713
19,2019-11-19 10:15:49.904388,-0.664,0.93231,0.14557,5.38635,5.66864,-2.22778
20,2019-11-19 10:15:50.294384,-0.56421,0.83386,0.04089,4.06647,-21.5683,0.49591
21,2019-11-19 10:15:50.684402,-0.59912,0.84259,0.0061,6.48499,7.26318,0.83923
22,2019-11-19 10:15:51.074382,-0.56067,0.84033,0.00403,4.84467,1.26648,0.99945
23,2019-11-19 10:15:51.513098,-0.5611,0.85101,-0.02087,-1.7395,-1.56403,2.63214
24,2019-11-19 10:15:51.903131,-0.54266,0.8728,0.005,2.27356,-0.45013,0.9079
25,2019-11-19 10:15:52.293125,-0.5191,0.87372,-0.01782,2.19727,4.58527,2.22778
26,2019-11-19 10:15:52.683129,-0.5365,0.89105,-0.03375,4.776,-0.74005,-2.83051
27,2019-11-19 10:15:53.121893,-0.5788,0.77637,0.06641,75.9201,-41.22162,-8.94165
28,2019-11-19 10:15:53.560626,-0.67181,0.13605,0.52631,40.61127,-250,-8.36182
29,2019-11-19 10:15:53.950620,-0.54291,0.81647,-1.00159,-250,249.99237,-250
30,2019-11-19 10:15:54.340588,-1.36957,0.20807,-0.61066,77.30865,-115.17334,244.79675
31,2019-11-19 10:15:54.730627,-0.77795,0.24994,-0.14343,45.41016,-127.72369,12.02393
32,2019-11-19 10:15:55.120630,-0.68073,0.76282,-0.00781,48.05756,-28.13721,14.47296
33,2019-11-19 10:15:55.510606,-0.54333,0.95862,-0.13922,-2.80762,13.31329,-11.31439
34,2019-11-19 10:15:55.949416,-0.67444,0.85986,-0.08832,21.28601,-4.52423,2.53296
35,2019-11-19 10:15:56.388117,-0.58417,0.82513,-0.12451,4.83704,-0.86975,-2.63977
36,2019-11-19 10:15:56.729357,-0.57684,0.82446,-0.13208,5.95856,-2.59399,-0.13733
37,2019-11-19 10:15:57.119367,-0.57159,0.83514,-0.12891,2.14386,-4.81415,7.30896
38,2019-11-19 10:15:57.655586,-0.55322,0.85144,-0.09216,3.91388,-2.27356,1.04523
39,2019-11-19 10:15:57.948070,-0.57794,0.85229,-0.12201,2.2583,-3.99017,-2.41852
40,2019-11-19 10:15:58.338112,-1.01044,0.87537,-0.05957,71.63239,25.24567,5.14221
41,2019-11-19 10:15:58.777238,-1.24323,-0.00995,0.36499,38.24615,-209.48792,-25.0473
42,2019-11-19 10:15:59.166980,0.25824,1.56464,1.69141,-250,249.99237,-250
43,2019-11-19 10:15:59.557074,-0.91394,0.34943,-0.3717,8.92639,-17.70782,86.31897
44,2019-11-19 10:16:00.044364,-0.70752,0.44958,-0.55243,5.10406,-65.65857,20.72906
45,2019-11-19 10:16:00.385602,-0.85834,0.90881,-0.00824,2.30408,-47.76764,28.99933
46,2019-11-19 10:16:00.775608,-0.69574,0.72894,-0.15771,24.71924,-21.24023,8.41522
47,2019-11-19 10:16:01.165675,-0.73096,0.95569,-0.0094,7.43103,34.65271,3.95203
48,2019-11-19 10:16:01.555573,-0.60095,0.86047,0.00183,7.71332,-37.36877,1.64795
49,2019-11-19 10:16:02.043107,-0.50757,0.88324,-0.01208,4.53949,6.17981,2.89917
50,2019-11-19 10:16:02.481842,-0.46857,0.89117,-0.07147,1.15204,10.07843,-2.37274
51,2019-11-19 10:16:35.380248,-1.22711,0.23932,0.02301,22.11761,-22.07184,54.41284
52,2019-11-19 10:16:35.398134,-0.99982,0.63593,-0.23376,26.88599,54.26788,36.37695
53,2019-11-19 10:16:35.885500,-0.72546,0.633,-0.42596,-12.0697,13.6795,-17.72308
54,2019-11-19 10:16:36.227024,-0.79956,0.60028,0.13416,24.46747,52.32239,8.36182
55,2019-11-19 10:16:36.616859,-0.8158,0.65472,-0.32349,-13.84735,34.5993,4.98199
56,2019-11-19 10:16:37.055504,-0.6424,0.76111,-0.19824,13.68713,-3.41797,4.11224
57,2019-11-19 10:16:37.445491,-0.65308,0.75293,-0.21033,9.80377,-10.05554,2.00653
58,2019-11-19 10:16:37.835500,-0.68945,0.70752,-0.24805,0.18311,-1.06812,-1.66321
59,2019-11-19 10:16:38.225506,-0.71686,0.74377,-0.17328,6.87408,9.04846,-0.7019
60,2019-11-19 10:16:38.713012,-0.65906,0.75153,-0.31097,-12.64954,6.81305,-11.45935
61,2019-11-19 10:16:39.054239,-0.6748,0.7193,-0.00104,51.48315,12.29095,-1.17493
62,2019-11-19 10:16:39.444260,-0.74054,0.6369,-0.7442,-62.30164,-16.4566,13.237
63,2019-11-19 10:16:39.834229,-0.93372,0.9538,-0.53101,37.62054,55.00793,12.85553
64,2019-11-19 10:16:40.272990,-0.87396,-0.03491,-0.1745,113.94501,-250,133.65936
65,2019-11-19 10:16:40.663035,-2,1.99994,-2,-250,249.99237,-102.37122
66,2019-11-19 10:16:41.052995,-0.67657,0.03674,-0.25537,85.18219,-112.07581,166.17584
67,2019-11-19 10:16:41.491755,-0.85583,0.34381,-0.25745,-1.51062,4.57001,47.7066
68,2019-11-19 10:16:41.881766,-0.73676,0.42542,-0.27368,26.90887,-20.52307,44.53278
69,2019-11-19 10:16:42.320511,-0.44189,0.88251,-0.21942,14.15253,1.5564,-13.37433
70,2019-11-19 10:16:42.661738,-0.71289,0.8504,-0.04321,-17.2348,7.5531,-1.77765
71,2019-11-19 10:16:43.100515,-0.68555,0.77924,-0.14484,4.34113,20.51544,6.32477
72,2019-11-19 10:16:43.490487,-0.65973,0.78839,-0.18292,1.92261,10.26917,2.2049
73,2019-11-19 10:16:43.880494,-0.63983,0.78748,-0.16125,4.1275,-2.85339,2.78473
74,2019-11-19 10:16:44.270495,-0.63165,0.77808,-0.19257,-1.34277,2.66266,-0.54932
75,2019-11-19 10:16:44.709255,-0.61951,0.78754,-0.1925,-0.88501,-0.19073,2.17438
76,2019-11-19 10:16:45.099262,-0.62683,0.52649,-0.73926,21.68274,-50.7431,-20.03479
77,2019-11-19 10:16:45.489242,-0.38855,0.33264,-0.28851,111.97662,-135.00214,-55.88531
78,2019-11-19 10:16:45.928000,1.26343,1.99994,-2,-250,249.99237,249.99237
79,2019-11-19 10:16:46.415491,-0.88495,0.61096,-0.33972,2.91443,-84.90753,71.80023
80,2019-11-19 10:16:46.707996,-0.79956,0.49591,-0.75214,2.17438,-20.35522,-13.58795
81,2019-11-19 10:16:47.097995,-0.90009,0.7146,0.04633,0.3891,34.09576,13.82446
82,2019-11-19 10:16:47.536855,-0.75787,0.599,-0.49561,9.8877,25.0473,-13.32092
83,2019-11-19 10:16:47.927048,-0.74554,0.75922,-0.01587,46.03577,11.67297,7.14874
84,2019-11-19 10:16:48.316877,-0.80896,0.64008,-0.1203,4.13513,3.82996,0.8316
85,2019-11-19 10:16:48.706939,-0.69629,0.75842,-0.10791,6.95801,-6.43921,3.05176
86,2019-11-19 10:16:49.194237,-0.83191,0.86835,0.07635,114.97498,-75.35553,8.59833
87,2019-11-19 10:16:49.535474,-0.58765,0.54712,-0.10931,76.67542,-109.44366,91.81976
88,2019-11-19 10:16:49.925475,1.29901,1.99994,1.99994,-250,-97.6944,249.99237
89,2019-11-19 10:16:50.315485,0.34833,0.28613,-0.18732,62.67548,-208.95386,46.20361
90,2019-11-19 10:16:50.754240,-1.01099,0.40338,-0.4787,55.13763,-98.30475,143.80646
91,2019-11-19 10:16:51.144234,-0.57324,0.48047,-0.11188,-45.88318,-13.24463,2.08282
92,2019-11-19 10:16:51.534234,-0.47681,0.82721,-0.58386,23.15521,19.27948,4.15802
93,2019-11-19 10:16:51.972993,-0.5647,0.67468,-0.26343,12.95471,22.00317,5.77545
94,2019-11-19 10:16:52.362983,-0.7467,0.68018,-0.17206,21.46912,-2.45667,12.82501
